L1-icache-load-misses,branch-loads,dTLB-store-misses,L1-dcache-load-misses,bus-cycles,branch-instructions,LLC-load-misses,cpu-cycles,cache-references,dTLB-load-misses,L1-dcache-stores,branch-misses,LLC-stores,iTLB-load-misses,branch-load-misses,LLC-loads,L1-dcache-loads,cache-misses,LLC-store-misses,instructions
479588,4659379,3,40384,35234962,3249749,3273,70277121,18093260,3,18081156,603351,489084,0,541362,489078,18081157,41962,3271,49596553
489935,5105070,0,48290,35163439,3208081,2998,70313466,18107464,0,17702049,596492,524102,0,591593,524103,17702045,39705,2991,49624550
475608,5090853,0,38722,35214751,3214136,2910,70272579,18076967,0,18106519,596907,521758,0,591456,521790,18106519,40316,2917,49487593
473027,5097767,0,38556,35166574,3196568,3055,70289747,18117694,0,18131381,595097,525999,0,592349,525735,18131382,38250,3067,49589450
475418,4865485,0,37460,35156191,3208896,2878,70282992,18072521,0,18147165,596048,511682,1,568493,511949,18147167,39883,2854,49557451
465927,4398474,4,36165,35175224,3198217,3417,70370236,18100678,4,18142532,593593,469821,3,511257,469799,18142530,39888,3416,49549627
480017,4622683,3,39583,35165282,3226905,3371,70295689,18056231,3,18116681,597350,484405,2,535376,484119,18116684,40049,3385,49540231
474797,5112417,1,38395,35168535,3193154,2933,70415526,18147828,1,18099055,594715,529510,1,596961,529791,18099054,38842,2928,49798772
476886,4867417,4,38861,35205741,3222081,3109,70394053,18084865,4,18099519,598462,508628,1,566428,508574,18099519,39621,3119,49479566
473012,4366290,4,37947,35161237,3204675,2820,70378083,18122607,4,18122339,595274,456522,1,508163,456575,18122339,39544,2805,49710544
479888,4600208,1,39790,35188744,3221779,3341,70302579,18068926,1,18063140,597700,486278,1,534817,486042,18063139,40638,3345,49438223
476614,5102220,0,38819,35182307,3232215,3716,70315579,18088119,0,18100614,599478,530588,2,596116,530838,18100616,41023,3711,49686289
478056,4871045,1,39022,35163755,3231124,2966,70245394,18061179,1,18107988,597777,497482,1,566048,497441,18107986,40353,2970,49462569
478503,4334542,2,39158,35166336,3198470,17259,70343970,18100980,2,18100406,593008,492989,2,502469,492722,18100407,38258,17295,49513852
473786,4574416,9,37585,35157780,3227114,3083,70320397,18060284,9,18125773,598585,478480,4,532089,478745,18125772,41392,3053,49396710
476261,5099375,6,39063,35260120,3225822,3544,70374984,17727408,6,18101241,599175,528885,3,593799,528851,18101243,40856,3552,48497231
477714,5121181,7,39061,35227946,3189358,2840,70319864,18059019,7,18099992,592617,529215,3,595906,529058,18098044,38012,2822,49428361
478003,5118799,5,38375,35206063,3199317,3266,70342332,18099595,5,18093976,594828,528038,1,595727,528266,18095920,38555,3277,49562407
474882,4948206,3,38824,35158928,3209621,2964,70396530,18091577,3,18101534,596554,514777,0,576022,514787,18101537,40980,2958,49536186
482963,4379958,2,40338,35173629,3240358,2811,70409432,18141269,2,18090495,600627,462602,0,510470,462597,18090493,41313,2812,49761532
478259,4552122,0,39016,35205084,3207634,3392,70346428,18089627,0,18121799,594864,485403,1,528933,485373,18121802,39194,3395,49529259
478131,5107030,4,39471,35194154,3220823,2913,70356335,18058724,4,18094487,596475,528833,2,593500,528844,18094486,39226,2906,49477021
476882,5120687,1,39272,35197534,3237119,2851,70288318,18095329,1,18092900,600401,531995,1,596588,531762,18090876,40607,2856,49458806
479830,5092276,3,39775,35231835,3214017,3894,70253555,18066684,3,18115143,597319,527522,1,593208,527789,18117168,39407,3898,49465617
471327,4970366,0,36727,35202074,3222913,3249,70328355,18070740,0,18137642,595157,517242,1,577536,516855,18135679,40727,3246,49530675
479556,4366971,3,39822,35230336,3199934,2869,70363662,18099568,3,18085248,593480,453454,0,505008,453806,18085236,38913,2867,49448686
