483668,4947133,1,40532,35172630,3241136,2726,70311821,18099618,1,18077863,601262,452014,3,567081,452031,18077863,41672,2744,49430117,1
476478,4081263,3,39304,35196998,3231328,1901,70346838,18073911,3,18094764,593138,304129,1,457086,304145,18094765,38950,1904,49491788,1
1221204,7662380,1,122416,25019561,4113852,4141,10202189,2726639,1,18206459,427888,903661,2,423537,904105,18206461,92945,4158,6576891,1
5014,3633438,7,787,35092662,3422865,369,70175836,36760125,7,36762579,57556,8625,5,57786,8589,36762579,742,367,60698840,1
476431,4952650,1,38754,35150476,3201726,2410,70371962,18102560,1,18104781,595040,450017,1,567657,450002,18106743,39415,2410,49625764,1
479073,5120873,4,40107,35202972,3103762,3358,70323138,18136434,4,18085915,569201,535840,0,596306,536172,18085915,28915,3367,49753420,1
474920,5103292,4,38758,35176530,3192317,3301,70266664,18040805,4,18084902,592366,525960,3,593145,525991,18084903,39184,3304,49448286,1
466856,5084587,2,38997,35167250,3186611,3060,70313183,18091755,2,17512544,593677,518389,2,589480,518044,17509493,37982,3058,49563126,1
478131,5107030,4,39471,35194154,3220823,2913,70356335,18058724,4,18094487,596475,528833,2,593500,528844,18094486,39226,2906,49477021,1
1065829,250098,68,107020,8066469,1298688,2429,2491253,581723,68,15932938,140981,35547,61,22584,35618,15932939,29159,2458,1284391,1
469794,4996788,1,38025,35209800,3213545,3210,70322217,18092187,1,18135547,597239,521974,2,581842,521999,18135548,39192,3199,49529936,1
5253,1546633,3,1314,35093550,1376975,66,70172003,20279950,3,20282781,89764,7481,0,94423,7479,20282780,896,66,60968675,1
472048,4359441,2,37927,35154749,3235314,2896,70367080,18098050,2,18105433,597964,456880,1,504184,456872,18103989,40890,2885,49538202,1
477435,5102906,3,38585,35198741,3207209,3186,70306880,18084523,3,18139250,595632,527876,6,594176,527865,18137766,39331,3175,49594532,1
1336810,10757901,9,117007,21363778,3545132,3260,29403014,8017051,10,19424769,362510,1424735,23,602848,1424748,19424769,61272,3265,19977860,1
474978,5119619,0,38751,35182188,3219414,3446,70259297,18109617,0,18065417,597146,534278,0,597052,534268,18065420,40960,3450,49539783,1
5061,1547314,3,812,35092952,1375788,30,70170808,20278155,2,20281352,97957,7425,2,89970,7440,20281352,807,27,60962033,1
