L1-icache-load-misses,branch-loads,dTLB-store-misses,L1-dcache-load-misses,bus-cycles,branch-instructions,LLC-load-misses,cpu-cycles,cache-references,dTLB-load-misses,L1-dcache-stores,branch-misses,LLC-stores,iTLB-load-misses,branch-load-misses,LLC-loads,L1-dcache-loads,cache-misses,LLC-store-misses,instructions
1564479,10574428,152,185679,35047010,5035540,10037,70067796,17856951,150,19038527,628034,1371921,79,586897,1371332,19037410,168395,10392,40555925
1521564,4178320,64,173671,35213937,5304012,5297,70469913,17756172,65,19491606,598696,519305,48,233160,519713,19492372,136620,5157,39395673
1190051,8342175,14,109813,35131689,5462608,5378,70057627,18164232,14,19816420,593120,1043500,14,460920,1043532,19816419,121984,5330,40980873
1111563,3235465,5,102580,35155226,5546718,3859,70013605,19003853,6,18620045,597437,399697,5,181968,399702,18620047,114044,3906,42795067
970068,2498807,3,87854,33884762,5301688,3731,70080013,17947617,3,16123643,572144,320717,2,144457,320696,16123640,115552,3688,39823876
1198131,10873246,3,107354,28691746,4410602,3368,70197720,17878210,3,19812716,481313,1346522,0,592668,1346517,19812718,107574,3357,39675354
632103,9185968,4,58737,9461712,1323825,4914,70111871,17791426,4,10428259,188197,1128599,0,503511,1128608,10428258,63634,4929,39287416
